admin_code,new_name,unit_type,former_units,effective_date,resolution
DB-01,Mường Nhé,xã,Nậm Vì | Chung Chải | Mường Nhé,2025-07-01,1661/NQ-UBTVQH15
DB-02,Sín Thầu,xã,Sen Thượng | Leng Su Sìn | Sín Thầu,2025-07-01,1661/NQ-UBTVQH15
DB-03,Mường Toong,xã,Huổi Lếch | Mường Toong,2025-07-01,1661/NQ-UBTVQH15
DB-04,Nậm Kè,xã,Pá Mỳ | Nậm Kè,2025-07-01,1661/NQ-UBTVQH15
DB-05,Quảng Lâm,xã,Na Cô Sa | Quảng Lâm,2025-07-01,1661/NQ-UBTVQH15
DB-06,Nà Hỳ,xã,Nà Khoa | Nậm Nhừ | Nậm Chua | Nà Hỳ,2025-07-01,1661/NQ-UBTVQH15
DB-07,Mường Chà,xã,Chà Cang | Chà Nưa | Nậm Tin | Pa Tần,2025-07-01,1661/NQ-UBTVQH15
DB-08,Nà Bủng,xã,Vàng Đán | Nà Bủng,2025-07-01,1661/NQ-UBTVQH15
DB-09,Chà Tở,xã,Nậm Khăn | Chà Tở,2025-07-01,1661/NQ-UBTVQH15
DB-10,Si Pa Phìn,xã,Phìn Hồ | Si Pa Phìn,2025-07-01,1661/NQ-UBTVQH15
DB-11,Na Sang,xã,Mường Chà | Ma Thì Hồ | Sa Lông | Na Sang,2025-07-01,1661/NQ-UBTVQH15
DB-12,Mường Tùng,xã,Huổi Lèng | Mường Tùng,2025-07-01,1661/NQ-UBTVQH15
DB-13,Pa Ham,xã,Hừa Ngài | Pa Ham,2025-07-01,1661/NQ-UBTVQH15
DB-14,Nậm Nèn,xã,Huổi Mí | Nậm Nèn,2025-07-01,1661/NQ-UBTVQH15
DB-15,Mường Pồn,xã,Mường Mươn | Mường Pồn,2025-07-01,1661/NQ-UBTVQH15
DB-16,Tủa Chùa,xã,Tủa Chùa | Mường Báng | Nà Tòng,2025-07-01,1661/NQ-UBTVQH15
DB-17,Sín Chải,xã,Tả Sìn Thàng | Lao Xả Phình | Sín Chải,2025-07-01,1661/NQ-UBTVQH15
DB-18,Sính Phình,xã,Trung Thu | Tả Phìn | Sính Phình,2025-07-01,1661/NQ-UBTVQH15
DB-19,Tủa Thàng,xã,Huổi Só | Tủa Thàng,2025-07-01,1661/NQ-UBTVQH15
DB-20,Sáng Nhè,xã,Xá Nhè | Mường Đun | Phình Sáng,2025-07-01,1661/NQ-UBTVQH15
DB-21,Tuần Giáo,xã,Tuần Giáo | Quài Cang | Quài Nưa,2025-07-01,1661/NQ-UBTVQH15
DB-22,Quài Tở,xã,Tỏa Tình | Tênh Phông | Quài Tở,2025-07-01,1661/NQ-UBTVQH15
DB-23,Mường Mùn,xã,Mùn Chung | Pú Xi | Mường Mùn,2025-07-01,1661/NQ-UBTVQH15
DB-24,Pú Nhung,xã,Rạng Đông | Ta Ma | Pú Nhung,2025-07-01,1661/NQ-UBTVQH15
DB-25,Chiềng Sinh,xã,Nà Sáy | Mường Thín | Mường Khong | Chiềng Sinh,2025-07-01,1661/NQ-UBTVQH15
DB-26,Mường Ảng,xã,Mường Ảng | Ẳng Nưa | Ẳng Cang,2025-07-01,1661/NQ-UBTVQH15
DB-27,Nà Tấu,xã,Mường Đăng | Ngối Cáy | Nà Tấu,2025-07-01,1661/NQ-UBTVQH15
DB-28,Búng Lao,xã,Ẳng Tở | Chiềng Đông | Búng Lao,2025-07-01,1661/NQ-UBTVQH15
DB-29,Mường Lạn,xã,Nặm Lịch | Xuân Lao | Mường Lạn,2025-07-01,1661/NQ-UBTVQH15
DB-30,Mường Phăng,xã,Nà Nhạn | Pá Khoang | Mường Phăng,2025-07-01,1661/NQ-UBTVQH15
DB-31,Thanh Nưa,xã,Hua Thanh | Thanh Luông | Thanh Hưng | Thanh Chăn | Thanh Nưa,2025-07-01,1661/NQ-UBTVQH15
DB-32,Thanh An,xã,Noong Hẹt | Sam Mứn | Thanh An,2025-07-01,1661/NQ-UBTVQH15
DB-33,Thanh Yên,xã,Noong Luống | Pa Thơm | Thanh Yên,2025-07-01,1661/NQ-UBTVQH15
DB-34,Sam Mứn,xã,Pom Lót | Na Ư,2025-07-01,1661/NQ-UBTVQH15
DB-35,Núa Ngam,xã,Hẹ Muông | Na Tông | Núa Ngam,2025-07-01,1661/NQ-UBTVQH15
DB-36,Mường Nhà,xã,Mường Lói | Phu Luông | Mường Nhà,2025-07-01,1661/NQ-UBTVQH15
DB-37,Na Son,xã,Điện Biên Đông | Keo Lôm | Na Son,2025-07-01,1661/NQ-UBTVQH15
DB-38,Xa Dung,xã,Phì Nhừ | Xa Dung,2025-07-01,1661/NQ-UBTVQH15
DB-39,Pu Nhi,xã,Nong U | Pu Nhi,2025-07-01,1661/NQ-UBTVQH15
DB-40,Mường Luân,xã,Chiềng Sơ | Luân Giói | Mường Luân,2025-07-01,1661/NQ-UBTVQH15
DB-41,Tìa Dình,xã,Háng Lìa | Tìa Dình,2025-07-01,1661/NQ-UBTVQH15
DB-42,Phình Giàng,xã,Pú Hồng | Phình Giàng,2025-07-01,1661/NQ-UBTVQH15
DB-43,Mường Lay,phường,Sông Đà | Na Lay | Lay Nưa | Sá Tổng,2025-07-01,1661/NQ-UBTVQH15
DB-44,Điện Biên Phủ,phường,Him Lam | Tân Thanh | Mường Thanh | Thanh Bình | Thanh Trường | Thanh Minh,2025-07-01,1661/NQ-UBTVQH15
DB-45,Mường Thanh,phường,Noong Bua | Nam Thanh | Thanh Xương,2025-07-01,1661/NQ-UBTVQH15
