location_id,commune_name,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Mường Nhé,22.2642077,102.3731569,500.0,0,GMT,GMT
1,Sín Thầu,22.3757559,102.2540299,500.0,0,GMT,GMT
2,Mường Toong,22.1574708,102.5724901,500.0,0,GMT,GMT
3,Nậm Kè,22.0619829,102.5143555,500.0,0,GMT,GMT
4,Quảng Lâm,21.9859511,102.6031629,500.0,0,GMT,GMT
5,Nà Hỳ,21.8333380,102.7325616,500.0,0,GMT,GMT
6,Mường Chà,21.8272713,103.1428346,500.0,0,GMT,GMT
7,Nà Bủng,21.7258132,102.7160411,500.0,0,GMT,GMT
8,Chà Tở,21.9896598,102.9376092,500.0,0,GMT,GMT
9,Si Pa Phìn,21.8098376,102.9201731,500.0,0,GMT,GMT
10,Na Sang,21.7586618,103.0904718,500.0,0,GMT,GMT
11,Mường Tùng,21.9519678,103.0926433,500.0,0,GMT,GMT
12,Pa Ham,21.9312434,103.2376065,500.0,0,GMT,GMT
13,Nậm Nèn,21.8044040,103.2258203,500.0,0,GMT,GMT
14,Mường Pồn,21.5869655,103.0296833,500.0,0,GMT,GMT
15,Tủa Chùa,21.9709478,103.3774060,500.0,0,GMT,GMT
16,Sín Chải,22.0538305,103.3480596,500.0,0,GMT,GMT
17,Sính Phình,21.9436694,103.3270886,500.0,0,GMT,GMT
18,Tủa Thàng,22.0324290,103.4386917,500.0,0,GMT,GMT
19,Sáng Nhè,21.8465622,103.4586649,500.0,0,GMT,GMT
20,Tuần Giáo,21.6456592,103.3711885,500.0,0,GMT,GMT
21,Quài Tở,21.5417485,103.4569434,500.0,0,GMT,GMT
22,Mường Mùn,21.7248422,103.3184198,500.0,0,GMT,GMT
23,Pú Nhung,21.7226384,103.4901395,500.0,0,GMT,GMT
24,Chiềng Sinh,21.6100291,103.3363912,500.0,0,GMT,GMT
25,Mường Ảng,21.5267978,103.2594999,500.0,0,GMT,GMT
26,Nà Tấu,21.5624221,103.1443005,500.0,0,GMT,GMT
27,Búng Lao,21.5463226,103.2891237,500.0,0,GMT,GMT
28,Mường Lạn,21.4514940,103.3176827,500.0,0,GMT,GMT
29,Mường Phăng,21.4487193,103.1349607,500.0,0,GMT,GMT
30,Thanh Nưa,21.4215085,102.9733819,500.0,0,GMT,GMT
31,Thanh An,21.3018221,103.0464810,500.0,0,GMT,GMT
32,Thanh Yên,21.3060702,102.9473232,500.0,0,GMT,GMT
33,Sam Mứn,21.2072347,102.9486785,500.0,0,GMT,GMT
34,Núa Ngam,21.1792549,103.0525592,500.0,0,GMT,GMT
35,Mường Nhà,21.1269462,103.1004962,500.0,0,GMT,GMT
36,Na Son,21.2967320,103.2200930,500.0,0,GMT,GMT
37,Xa Dung,21.3182894,103.2995758,500.0,0,GMT,GMT
38,Pu Nhi,21.3456912,103.1344866,500.0,0,GMT,GMT
39,Mường Luân,21.2469241,103.3801762,500.0,0,GMT,GMT
40,Tìa Dình,21.1414586,103.3380428,500.0,0,GMT,GMT
41,Phình Giàng,21.1251928,103.2244561,500.0,0,GMT,GMT
42,Mường Lay,22.0311514,103.1274828,500.0,0,GMT,GMT
43,Điện Biên Phủ,21.4904376,103.1046352,500.0,0,GMT,GMT
44,Mường Thanh,21.3872796,103.0168652,500.0,0,GMT,GMT
