,location_id,time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),surface_pressure (hPa),wind_speed_10m (km/h),cloud_cover (%),rain (mm),snow_depth (m),snowfall (cm),wind_gusts_10m (km/h),et0_fao_evapotranspiration (mm),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),y_mua_lon,y_sat_lo,y_dong_loc,y_mua_da,y_lu_lut
2172964,4,2026-07-06 00:00:00,22.3,21.8,0.2,907.9,0.8,97.0,0.2,0.0,0.0,22.7,0.04,23.2,24.7,0.503,0.51,0,0,0,0,0
2059176,21,2026-03-22 15:00:00,18.1,17.3,0.0,902.0,3.1,32.0,0.0,0.0,0.0,16.6,0.0,20.4,20.8,0.31,0.35,0,0,0,0,0
175523,23,2021-06-12 12:00:00,23.4,22.4,0.0,891.3,3.1,96.0,0.0,0.0,0.0,8.3,0.01,24.3,22.7,0.484,0.489,0,0,0,0,0
1992195,0,2026-01-19 15:00:00,16.0,10.5,0.0,928.9,2.0,0.0,0.0,0.0,0.0,8.6,0.0,16.1,16.8,0.44,0.446,0,0,0,0,0
2133845,34,2026-05-30 18:00:00,19.9,18.9,0.0,885.5,4.1,92.0,0.0,0.0,0.0,11.5,0.0,21.2,23.3,0.465,0.438,0,0,0,0,0
860220,0,2023-03-08 12:00:00,24.7,16.2,0.0,931.8,4.3,3.0,0.0,0.0,0.0,10.4,0.03,21.8,19.3,0.376,0.362,0,0,0,0,0
1634264,43,2025-02-22 04:00:00,20.4,15.8,0.1,918.9,4.0,100.0,0.1,0.0,0.0,18.7,0.29,19.3,17.9,0.357,0.289,0,0,0,0,0
451667,2,2022-02-23 05:00:00,11.4,9.3,0.0,966.5,7.7,100.0,0.0,0.0,0.0,23.4,0.08,11.8,12.8,0.48,0.479,0,0,0,0,0
2026314,9,2026-02-20 05:00:00,20.4,15.0,0.0,922.1,7.1,100.0,0.0,0.0,0.0,19.8,0.37,20.9,18.9,0.181,0.32,0,0,0,0,0
788326,17,2022-12-31 22:00:00,4.4,4.4,0.0,877.5,4.0,100.0,0.0,0.0,0.0,15.8,0.0,6.2,9.3,0.479,0.48,0,0,0,0,0
1422263,37,2024-08-09 21:00:00,18.1,16.4,0.0,849.7,3.4,99.0,0.0,0.0,0.0,23.8,0.0,18.7,20.4,0.463,0.472,0,0,0,0,0
2180154,38,2026-07-12 15:00:00,21.3,20.8,0.0,890.1,1.9,93.0,0.0,0.0,0.0,6.8,0.0,22.4,24.1,0.504,0.513,0,0,0,0,0
1609329,38,2025-01-30 02:00:00,13.2,6.8,0.0,898.7,1.9,18.0,0.0,0.0,0.0,14.8,0.14,11.2,12.0,0.296,0.28,0,0,0,0,0
428027,31,2022-02-01 07:00:00,23.6,13.3,0.0,947.4,4.1,67.0,0.0,0.0,0.0,20.2,0.42,21.4,17.7,0.291,0.336,0,0,0,0,0
706505,5,2022-10-17 04:00:00,25.9,13.4,0.0,948.7,9.0,83.0,0.0,0.0,0.0,30.2,0.56,22.4,21.0,0.359,0.383,0,0,0,0,0
332733,3,2021-11-05 02:00:00,20.6,19.6,0.0,900.6,3.6,100.0,0.0,0.0,0.0,22.0,0.13,19.8,19.5,0.481,0.485,0,0,0,0,0
