disaster,horizon,tier,n_pos_total,n_folds_run,model_pr_auc,model_roc_auc,model_f2,baseline_single_feature_pr_auc,baseline_climatological_pr_auc,kind,serve_enabled
y_lu_lut,day3,ok,3128,1,0.07307208871209156,0.8918554738769825,0.2590145211290586,0.05517199015844155,0.04124142648704168,model,True
y_sat_lo,day3,ok,4469,1,0.028229191659807452,0.6861877678416097,0.12507254788160185,0.05599585810304844,0.04124142648704168,model,False
y_dong_loc,day3,ok,1645,1,0.007355811713995818,0.816837014013611,0.0,0.001765573357381166,0.0032987479204973297,model,True
y_mua_lon,day3,ok,3999,1,0.023755578861071987,0.6301442522979177,0.09261197153620761,0.032219985010513576,0.0181142255853088,model,False
y_mua_da,day3,ok,705,0,,,,,,baseline,False
y_lu_lut,day7,ok,3128,1,0.009743021310241788,0.07549605063911397,0.010779138221718582,0.034268308785237546,0.0545673283492309,model,False
y_sat_lo,day7,ok,4469,1,0.017525486733189027,0.5262083150182774,0.09184379039773923,0.0315343705974176,0.0545673283492309,model,False
y_dong_loc,day7,ok,1645,1,0.006163796479020816,0.7904490378739422,0.0,0.0017480352843340743,0.0048353909465020575,model,True
y_mua_lon,day7,ok,3999,1,0.01816747578088816,0.5357227695864726,0.0,0.05608978434772771,0.0545673283492309,model,False
y_mua_da,day7,ok,705,0,,,,,,baseline,False
